dict_size,l1_coeff,center_mean,final_recon_loss,final_l1_loss,alive_count,alive_frac,dead_count,mean_sparsity,L0,mean_activation,training_time_sec
1024,0.003,False,0.00024112292157951742,0.2628006339073181,1024,1.0,0,0.5873334407806396,601.4294814814815,0.2611317515432099,41.87053465843201
1024,0.003,True,0.00016857493028510362,0.24059098958969116,1024,1.0,0,0.7562757134437561,774.4263209876543,0.23939390432098764,39.88740015029907
1024,0.01,False,0.0003864993341267109,0.15907976031303406,1024,1.0,0,0.5374743938446045,550.3737777777778,0.1580329619984568,39.863776206970215
1024,0.01,True,0.00033112644450739026,0.14790010452270508,1024,1.0,0,0.693528950214386,710.1736296296297,0.14675921103395062,39.45007801055908
1024,0.03,False,0.0007910729618743062,0.10888375341892242,1024,1.0,0,0.4344833493232727,444.9109135802469,0.10805451871141976,39.70092415809631
1024,0.03,True,0.0007435174193233252,0.10197024047374725,1024,1.0,0,0.5614492297172546,574.9239506172839,0.1010753761574074,39.52126884460449
2048,0.003,False,0.00036669650580734015,0.19016173481941223,2048,1.0,0,0.37325024604797363,764.4164444444444,0.18976924189814814,68.51209616661072
2048,0.003,True,0.00017622415907680988,0.17694981396198273,2048,1.0,0,0.508750855922699,1041.9216790123457,0.17701121238425926,68.33371782302856
2048,0.01,False,0.0002683271886780858,0.10906568169593811,2048,1.0,0,0.35215479135513306,721.213037037037,0.10861944203317901,68.85182976722717
2048,0.01,True,0.00021778850350528955,0.10160775482654572,2048,1.0,0,0.4792255759239197,981.454024691358,0.10082078269675926,68.59236717224121
2048,0.03,False,0.0004502254305407405,0.06696384400129318,2048,1.0,0,0.2956596314907074,605.5109135802469,0.06643083887924382,68.76800799369812
2048,0.03,True,0.0004462288925424218,0.06317047774791718,2048,1.0,0,0.39707326889038086,813.2060740740741,0.06274256124614197,68.58894419670105
4096,0.003,False,0.0001774975098669529,0.15941265225410461,4096,1.0,0,0.29284852743148804,1199.5075555555557,0.16110579427083332,125.12022185325623
4096,0.003,True,0.0001493981690146029,0.14598733186721802,4096,1.0,0,0.3580491542816162,1466.5692839506173,0.1451577208719136,125.17158770561218
4096,0.01,False,0.0002382672973908484,0.09078595042228699,4096,1.0,0,0.273878276348114,1121.8052345679012,0.09028272690007716,124.82502722740173
4096,0.01,True,0.00030184962088242173,0.08545511960983276,4096,1.0,0,0.3471231460571289,1421.8163950617284,0.08559688464506172,124.76876902580261
4096,0.03,False,0.0003188404079992324,0.047077205032110214,4096,1.0,0,0.2283928394317627,935.497086419753,0.04674662422839506,124.77043557167053
4096,0.03,True,0.00036399453529156744,0.04557398706674576,4096,1.0,0,0.3034258782863617,1242.8323950617284,0.045138271002121914,124.77199077606201
