z_level,step,target,task,metric,train_score,val_score,val_ci_lower,val_ci_upper,val_std,n_seeds,val_scores_per_seed,n_train,n_val,in_dim
L,0,cell_digit,multiclass,acc,0.6426,0.63553,0.63057,0.64049,0.00399,5,0.64062;0.63642;0.63074;0.63235;0.63753,32400,8100,512
L,4,per_cell_correct,binary,acc,0.81431,0.80037,0.78519,0.81555,0.01223,5,0.78136;0.81247;0.80074;0.80951;0.79778,32400,8100,512
L,4,is_given,binary,acc,0.99967,0.9996,0.99948,0.99973,0.0001,5,0.99963;0.99963;0.99975;0.99951;0.99951,32400,8100,512
L,4,violated_in_row,binary,acc,0.87191,0.86279,0.85512,0.87046,0.00617,5,0.85333;0.86975;0.86642;0.86160;0.86284,32400,8100,512
L,4,violated_in_col,binary,acc,0.8709,0.86025,0.84986,0.87063,0.00836,5,0.84753;0.86765;0.86605;0.86383;0.85617,32400,8100,512
L,4,violated_in_box,binary,acc,0.86377,0.85047,0.84193,0.85901,0.00688,5,0.83988;0.85802;0.85333;0.85296;0.84815,32400,8100,512
L,4,cell_digit,multiclass,acc,0.90559,0.89793,0.89134,0.90451,0.0053,5,0.89272;0.90185;0.90247;0.90099;0.89160,32400,8100,512
L,8,per_cell_correct,binary,acc,0.83575,0.82588,0.80973,0.84202,0.01301,5,0.80333;0.83506;0.83210;0.82630;0.83259,32400,8100,512
L,8,is_given,binary,acc,0.99949,0.99943,0.99923,0.99964,0.00017,5,0.99951;0.99926;0.99951;0.99963;0.99926,32400,8100,512
L,8,violated_in_row,binary,acc,0.88496,0.87728,0.86985,0.88471,0.00598,5,0.87519;0.88432;0.88037;0.86840;0.87815,32400,8100,512
L,8,violated_in_col,binary,acc,0.87979,0.87449,0.86286,0.88613,0.00937,5,0.86407;0.88160;0.88284;0.86457;0.87938,32400,8100,512
L,8,violated_in_box,binary,acc,0.87477,0.86533,0.85205,0.87862,0.0107,5,0.85728;0.87494;0.87432;0.85099;0.86914,32400,8100,512
L,8,cell_digit,multiclass,acc,0.91217,0.90514,0.89666,0.91361,0.00682,5,0.90012;0.91321;0.91123;0.89765;0.90346,32400,8100,512
L,12,per_cell_correct,binary,acc,0.84094,0.83007,0.81316,0.84699,0.01363,5,0.80840;0.84136;0.83864;0.82506;0.83691,32400,8100,512
L,12,is_given,binary,acc,0.99944,0.99941,0.99911,0.9997,0.00024,5,0.99951;0.99938;0.99951;0.99963;0.99901,32400,8100,512
L,12,violated_in_row,binary,acc,0.88765,0.88027,0.86917,0.89137,0.00894,5,0.86642;0.88741;0.88889;0.88000;0.87864,32400,8100,512
L,12,violated_in_col,binary,acc,0.88633,0.87743,0.86583,0.88904,0.00935,5,0.86235;0.88370;0.88642;0.87827;0.87642,32400,8100,512
L,12,violated_in_box,binary,acc,0.87828,0.86881,0.85565,0.88198,0.01061,5,0.85074;0.87407;0.87827;0.87000;0.87099,32400,8100,512
L,12,cell_digit,multiclass,acc,0.91666,0.90928,0.89906,0.91951,0.00823,5,0.89593;0.91321;0.91790;0.91086;0.90852,32400,8100,512
L,15,per_cell_correct,binary,acc,0.84491,0.83336,0.81456,0.85215,0.01514,5,0.80691;0.84432;0.84074;0.83963;0.83519,32400,8100,512
L,15,is_given,binary,acc,0.99942,0.99941,0.99908,0.99974,0.00027,5,0.99951;0.99938;0.99938;0.99975;0.99901,32400,8100,512
L,15,violated_in_row,binary,acc,0.89075,0.88183,0.87255,0.8911,0.00747,5,0.86938;0.88148;0.88765;0.88753;0.88309,32400,8100,512
L,15,violated_in_col,binary,acc,0.88591,0.8759,0.86603,0.88577,0.00795,5,0.86420;0.87309;0.88395;0.88247;0.87580,32400,8100,512
L,15,violated_in_box,binary,acc,0.88188,0.87109,0.8606,0.88158,0.00845,5,0.85778;0.86988;0.87864;0.87815;0.87099,32400,8100,512
L,15,cell_digit,multiclass,acc,0.91943,0.90906,0.90226,0.91586,0.00548,5,0.90247;0.90667;0.91506;0.91444;0.90667,32400,8100,512
