step_index,mean_hamming,std_hamming
1,0.3349338990362958,0.08690755020396844
2,0.20100951319066288,0.09789638206016633
3,0.14420481805473825,0.10414819689251523
4,0.11521073228066088,0.10186431244094982
5,0.10182884709736781,0.10015437715788571
6,0.09429181161023134,0.09899283812861005
7,0.08960753547277711,0.09817378350139613
8,0.08634372649713858,0.09752589043594402
9,0.08378557630869508,0.0969573704265451
10,0.08164715165576586,0.09624979253999953
11,0.07984338394652969,0.09563463206115051
12,0.07857702960338737,0.0952715567025774
13,0.07754039240431532,0.09506605707293553
14,0.07650290999053837,0.09470719771176903
15,0.07571613988685416,0.09447247525114494
