z_level,step,target,task,metric,linear_val,linear_ci_lower,linear_ci_upper,mlp_val,mlp_ci_lower,mlp_ci_upper,delta_val,n_seeds,linear_per_seed,mlp_per_seed
H,15,violated_in_row,binary,acc,0.88311,0.8762,0.89002,0.88709,0.88133,0.89284,0.00398,5,0.87333;0.88704;0.88605;0.88469;0.88444,0.88049;0.88654;0.89247;0.89037;0.88556
H,15,violated_in_col,binary,acc,0.87832,0.8708,0.88585,0.88296,0.87572,0.89021,0.00464,5,0.86815;0.87790;0.88272;0.88296;0.87988,0.87333;0.88210;0.88753;0.88741;0.88444
H,15,violated_in_box,binary,acc,0.87491,0.8658,0.88403,0.87899,0.86747,0.89051,0.00407,5,0.86284;0.87444;0.88136;0.88012;0.87580,0.86395;0.87704;0.88531;0.88728;0.88136
H,15,cell_digit,multiclass,acc,0.98916,0.9881,0.99022,0.98847,0.98713,0.98981,-0.00069,5,0.98914;0.98790;0.99025;0.98951;0.98901,0.98765;0.98864;0.98716;0.98988;0.98901
L,0,per_cell_correct,binary,acc,0.67748,0.67018,0.68478,0.68294,0.67453,0.69135,0.00546,5,0.67049;0.67790;0.67346;0.67988;0.68568,0.67691;0.68901;0.67815;0.67914;0.69148
L,0,is_given,binary,acc,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5,1.00000;1.00000;1.00000;1.00000;1.00000,1.00000;1.00000;1.00000;1.00000;1.00000
L,0,violated_in_row,binary,acc,0.71447,0.70401,0.72493,0.71343,0.70461,0.72225,-0.00104,5,0.70111;0.71815;0.71136;0.72049;0.72123,0.70235;0.71358;0.71210;0.71864;0.72049
L,0,violated_in_col,binary,acc,0.70884,0.70146,0.71622,0.71111,0.70482,0.7174,0.00227,5,0.70123;0.71222;0.70407;0.71123;0.71543,0.70358;0.71346;0.70852;0.71370;0.71630
L,0,violated_in_box,binary,acc,0.70259,0.70053,0.70465,0.70553,0.69954,0.71153,0.00294,5,0.70173;0.70272;0.70025;0.70407;0.70420,0.69852;0.70593;0.70395;0.70765;0.71160
L,0,cell_digit,multiclass,acc,0.63553,0.63057,0.64049,0.63442,0.63014,0.6387,-0.00111,5,0.64062;0.63642;0.63074;0.63235;0.63753,0.63802;0.63444;0.63000;0.63210;0.63753
L,4,per_cell_correct,binary,acc,0.80037,0.78519,0.81555,0.80262,0.78734,0.8179,0.00225,5,0.78136;0.81247;0.80074;0.80951;0.79778,0.78160;0.81321;0.80654;0.80864;0.80309
L,4,is_given,binary,acc,0.9996,0.99948,0.99973,0.99978,0.99958,0.99998,0.00017,5,0.99963;0.99963;0.99975;0.99951;0.99951,0.99988;0.99975;1.00000;0.99963;0.99963
L,4,violated_in_row,binary,acc,0.86279,0.85512,0.87046,0.86509,0.85903,0.87115,0.0023,5,0.85333;0.86975;0.86642;0.86160;0.86284,0.86099;0.87111;0.86938;0.86049;0.86346
L,4,violated_in_col,binary,acc,0.86025,0.84986,0.87063,0.85928,0.85144,0.86712,-0.00096,5,0.84753;0.86765;0.86605;0.86383;0.85617,0.84988;0.86556;0.86407;0.86037;0.85654
L,4,violated_in_box,binary,acc,0.85047,0.84193,0.85901,0.85178,0.84034,0.86322,0.00131,5,0.83988;0.85802;0.85333;0.85296;0.84815,0.83827;0.86346;0.85432;0.85407;0.84877
L,4,cell_digit,multiclass,acc,0.89793,0.89134,0.90451,0.88642,0.87839,0.89445,-0.01151,5,0.89272;0.90185;0.90247;0.90099;0.89160,0.88099;0.89185;0.89358;0.88679;0.87889
L,8,per_cell_correct,binary,acc,0.82588,0.80973,0.84202,0.83054,0.81509,0.84599,0.00467,5,0.80333;0.83506;0.83210;0.82630;0.83259,0.80938;0.84025;0.83815;0.83000;0.83494
L,8,is_given,binary,acc,0.99943,0.99923,0.99964,0.9997,0.99957,0.99984,0.00027,5,0.99951;0.99926;0.99951;0.99963;0.99926,0.99975;0.99963;0.99988;0.99963;0.99963
L,8,violated_in_row,binary,acc,0.87728,0.86985,0.88471,0.87714,0.87082,0.88345,-0.00015,5,0.87519;0.88432;0.88037;0.86840;0.87815,0.87469;0.87963;0.88185;0.86938;0.88012
L,8,violated_in_col,binary,acc,0.87449,0.86286,0.88613,0.87481,0.86553,0.8841,0.00032,5,0.86407;0.88160;0.88284;0.86457;0.87938,0.86790;0.88099;0.88086;0.86556;0.87877
L,8,violated_in_box,binary,acc,0.86533,0.85205,0.87862,0.8682,0.85743,0.87897,0.00286,5,0.85728;0.87494;0.87432;0.85099;0.86914,0.85790;0.87654;0.87593;0.86037;0.87025
L,8,cell_digit,multiclass,acc,0.90514,0.89666,0.91361,0.89578,0.8881,0.90346,-0.00936,5,0.90012;0.91321;0.91123;0.89765;0.90346,0.89074;0.90296;0.90173;0.88975;0.89370
L,12,per_cell_correct,binary,acc,0.83007,0.81316,0.84699,0.83523,0.8154,0.85507,0.00516,5,0.80840;0.84136;0.83864;0.82506;0.83691,0.80827;0.84778;0.84444;0.83346;0.84222
L,12,is_given,binary,acc,0.99941,0.99911,0.9997,0.99965,0.99938,0.99993,0.00025,5,0.99951;0.99938;0.99951;0.99963;0.99901,0.99988;0.99951;0.99963;0.99988;0.99938
L,12,violated_in_row,binary,acc,0.88027,0.86917,0.89137,0.88123,0.87062,0.89184,0.00096,5,0.86642;0.88741;0.88889;0.88000;0.87864,0.86877;0.88593;0.89136;0.88222;0.87790
L,12,violated_in_col,binary,acc,0.87743,0.86583,0.88904,0.87842,0.86697,0.88987,0.00099,5,0.86235;0.88370;0.88642;0.87827;0.87642,0.86420;0.88222;0.88951;0.87840;0.87778
L,12,violated_in_box,binary,acc,0.86881,0.85565,0.88198,0.87138,0.85909,0.88368,0.00257,5,0.85074;0.87407;0.87827;0.87000;0.87099,0.85593;0.87741;0.88210;0.87160;0.86988
L,12,cell_digit,multiclass,acc,0.90928,0.89906,0.91951,0.90007,0.89045,0.9097,-0.00921,5,0.89593;0.91321;0.91790;0.91086;0.90852,0.88802;0.90321;0.90914;0.90123;0.89877
L,15,per_cell_correct,binary,acc,0.83336,0.81456,0.85215,0.83723,0.81819,0.85628,0.00388,5,0.80691;0.84432;0.84074;0.83963;0.83519,0.81099;0.84951;0.84506;0.84358;0.83704
L,15,is_given,binary,acc,0.99941,0.99908,0.99974,0.99963,0.99934,0.99992,0.00022,5,0.99951;0.99938;0.99938;0.99975;0.99901,0.99988;0.99951;0.99951;0.99988;0.99938
L,15,violated_in_row,binary,acc,0.88183,0.87255,0.8911,0.88267,0.87431,0.89103,0.00084,5,0.86938;0.88148;0.88765;0.88753;0.88309,0.87247;0.88136;0.88815;0.88938;0.88198
L,15,violated_in_col,binary,acc,0.8759,0.86603,0.88577,0.87558,0.86475,0.88641,-0.00032,5,0.86420;0.87309;0.88395;0.88247;0.87580,0.86235;0.87222;0.88519;0.87988;0.87827
L,15,violated_in_box,binary,acc,0.87109,0.8606,0.88158,0.87114,0.86071,0.88156,5e-05,5,0.85778;0.86988;0.87864;0.87815;0.87099,0.85802;0.87099;0.87914;0.87778;0.86975
L,15,cell_digit,multiclass,acc,0.90906,0.90226,0.91586,0.89943,0.89225,0.90662,-0.00963,5,0.90247;0.90667;0.91506;0.91444;0.90667,0.89012;0.89815;0.90407;0.90420;0.90062
