dict_size,l1_coeff,center_mean,final_recon_loss,final_l1_loss,alive_count,alive_frac,dead_count,mean_sparsity,L0,mean_activation,training_time_sec
1024,0.003,False,0.0002150548534700647,0.2863009572029114,1024,1.0,0,0.5604914426803589,573.9432592592592,0.28434090470679013,40.891021966934204
1024,0.003,True,0.0001440145424567163,0.273534893989563,1024,1.0,0,0.7847452163696289,803.5791604938272,0.27217305652006174,39.809908628463745
1024,0.01,False,0.00040592686855234206,0.19381262362003326,1024,1.0,0,0.5282513499259949,540.9293827160494,0.19304752604166667,39.70315146446228
1024,0.01,True,0.0003741536056622863,0.18353834748268127,1024,1.0,0,0.7357481718063354,753.406024691358,0.1829294463734568,39.61707139015198
1024,0.03,False,0.0009558557067066431,0.13570576906204224,1024,1.0,0,0.45072948932647705,461.54696296296294,0.13489142071759258,39.704835653305054
1024,0.03,True,0.0008505238220095634,0.1213371530175209,1024,1.0,0,0.6137118339538574,628.4408888888889,0.12060882040895061,39.50795888900757
2048,0.003,False,0.0001290511863771826,0.20279768109321594,2048,1.0,0,0.38915419578552246,796.9877530864197,0.2019389708719136,68.46996593475342
2048,0.003,True,0.00010292721708538011,0.19628572463989258,2048,1.0,0,0.5294032096862793,1084.21787654321,0.19594502314814816,76.22213578224182
2048,0.01,False,0.0002361991791985929,0.1208886206150055,2048,1.0,0,0.36972761154174805,757.2021728395061,0.12037180507330247,68.75032067298889
2048,0.01,True,0.00023851983132772148,0.11793740093708038,2048,1.0,0,0.5086542963981628,1041.724049382716,0.11740410397376543,68.65398955345154
2048,0.03,False,0.0005070928018540144,0.08438022434711456,2048,1.0,0,0.3201683759689331,655.7047901234567,0.08395546995563272,68.75831055641174
2048,0.03,True,0.0004966873093508184,0.0788646936416626,2048,1.0,0,0.4447285532951355,910.804049382716,0.07845326967592593,68.60992097854614
4096,0.003,False,0.0001211478520417586,0.15967105329036713,4096,1.0,0,0.275921493768692,1130.1744197530863,0.15946896701388888,124.70985698699951
4096,0.003,True,0.0003071810642722994,0.1655210554599762,4096,1.0,0,0.46919503808021545,1921.8228148148148,0.1649653621720679,124.7201361656189
4096,0.01,False,0.00017858896171674132,0.0938325747847557,4096,1.0,0,0.2631577253341675,1077.893925925926,0.09363451244212963,124.71153044700623
4096,0.01,True,0.00022503540094476193,0.09283500164747238,4096,1.0,0,0.3766867518424988,1542.908938271605,0.09229964795524691,124.70445561408997
4096,0.03,False,0.0003064152551814914,0.05389755219221115,4096,1.0,0,0.23420214653015137,959.291950617284,0.053621636284722225,124.70764493942261
4096,0.03,True,0.00035803765058517456,0.053114429116249084,4096,1.0,0,0.3140560984611511,1286.3737283950618,0.05286114125192901,124.72491455078125
